class_map,class_code,class_name,story_role,description,pixel_count,area_km2,percent_of_valid_aoi,centroid_x,centroid_y,min_x,max_x,min_y,max_y,elevation_available,elevation_mean,elevation_median,elevation_p25,elevation_p75,slope_available,slope_mean,slope_median,slope_p25,slope_p75,aspect_available,aspect_mean,aspect_median,aspect_p25,aspect_p75,forest_mask_available
daytime_evening,4,esi_watch_zone_exploratory,monitoring zone,NDVI and ET are positive but ESI slope is negative.,11239,55.0711,31.512687508762095,589482.380549871,5167601.420500045,579675.0,600535.0,5158615.0,5180245.0,True,2557.0751953125,2574.35302734375,2393.7666015625,2737.171142578125,True,31.381500244140625,32.27941131591797,24.808862686157227,38.090301513671875,True,173.26828002929688,165.24456787109375,99.32185363769531,248.59593200683594,False
daytime_evening,5,demand_efficiency_watch_exploratory,monitoring zone,"NDVI, ET, and PET are positive while WUE is negative.",12176,59.6624,34.13991308005047,589690.2603482261,5167783.401773982,579395.0,600465.0,5158755.0,5180385.0,True,2118.866455078125,2100.8310546875,1952.180419921875,2251.814453125,True,27.915189743041992,28.269763946533203,20.721397399902344,34.75878143310547,True,162.4435577392578,156.87966918945312,82.84353637695312,238.89024353027344,False
daytime_evening,6,efficient_activation_support,efficient activation candidate,NDVI and ET are positive and WUE is nonnegative.,2366,11.593399999999999,6.633954857703631,589762.7218934911,5168657.455621302,579535.0,600395.0,5158545.0,5179825.0,True,2317.627197265625,2303.119873046875,2093.922607421875,2548.7880859375,True,30.925695419311523,31.248355865478516,24.353483200073242,37.2062873840332,True,179.4436492919922,181.05331420898438,124.12042236328125,233.28306579589844,False
daytime_evening,7,product_disagreement_zone,hypothesis generator,Main products point in conflicting directions.,8714,42.6986,24.432917426047947,590092.034656874,5168464.563920128,579465.0,599975.0,5158545.0,5180385.0,True,2298.67724609375,2321.615234375,2012.496337890625,2577.707275390625,True,30.60511589050293,31.208677291870117,23.954599380493164,37.12297058105469,True,197.8046875,218.68008422851562,112.0590591430664,274.0587158203125,False
daytime_evening,8,high_variability_zone,variability zone,One or more main products show high interannual variability.,578,2.8322,1.6206364783401095,589932.1799307958,5167808.615916955,580865.0,599625.0,5158545.0,5179615.0,True,2575.211669921875,2632.699462890625,2350.683837890625,2749.200927734375,True,30.002460479736328,28.32844352722168,21.81309700012207,36.94877624511719,True,192.9820098876953,195.51951599121094,130.3860626220703,264.2213134765625,False
all_available_timebin,0,unclassified_or_no_data,not interpreted,No dominant story assigned or no valid trend support.,97,0.4753,0.2719753259498108,589995.3092783506,5168380.360824742,581425.0,599065.0,5159525.0,5179615.0,True,2367.931884765625,2331.2470703125,2260.353515625,2455.173828125,True,37.38878631591797,36.835365295410156,31.0944766998291,43.78083038330078,True,208.23887634277344,230.25299072265625,94.21231842041016,303.922607421875,False
all_available_timebin,1,stable_core,strong stability candidate,"Low interannual variability across NDVI, ET, and ESI.",416,2.0383999999999998,1.1664096453105284,590661.6346153846,5169774.278846154,580025.0,599695.0,5159665.0,5180385.0,True,1995.5216064453125,2002.5582275390625,1808.78662109375,2178.6875,True,32.21101760864258,32.22240447998047,24.772855758666992,38.67256164550781,True,181.97637939453125,220.4649658203125,79.4384536743164,261.6311950683594,False
all_available_timebin,2,coherent_june_activation,coherent activation,NDVI and ET slopes are positive and ESI is nonnegative.,94,0.4606,0.26356371793074446,588578.4042553192,5170216.382978723,584015.0,598715.0,5162185.0,5180315.0,True,1841.8045654296875,1795.851806640625,1715.8707275390625,1898.9666748046875,True,30.353591918945312,31.023052215576172,17.37027359008789,37.7672004699707,True,186.25856018066406,185.41226196289062,164.10072326660156,205.228759765625,False
all_available_timebin,4,esi_watch_zone_exploratory,monitoring zone,NDVI and ET are positive but ESI slope is negative.,11458,56.1442,32.12673489415393,589439.1263745854,5167553.617559783,579675.0,600535.0,5158545.0,5180245.0,True,2559.43798828125,2577.34375,2395.898193359375,2740.62841796875,True,31.4201717376709,32.300209045410156,24.838111877441406,38.128910064697266,True,173.158447265625,164.99465942382812,99.73899841308594,247.98683166503906,False
all_available_timebin,5,demand_efficiency_watch_exploratory,monitoring zone,"NDVI, ET, and PET are positive while WUE is negative.",11829,57.9621,33.16697041917847,589631.2913179474,5167649.077267732,579395.0,600465.0,5158545.0,5180385.0,True,2126.807861328125,2107.302001953125,1957.5042724609375,2262.333984375,True,27.84152603149414,28.15947151184082,20.656599044799805,34.710662841796875,True,161.58462524414062,155.41262817382812,82.48434448242188,236.8749542236328,False
