class_map,class_code,class_name,patch_id,pixel_count,area_km2,centroid_x,centroid_y,min_x,max_x,min_y,max_y
midday_afternoon,7,product_disagreement_zone,334,290,1.421,580239.8275862068,5161251.586206896,579465.0,581075.0,5160435.0,5162045.0
midday_afternoon,7,product_disagreement_zone,151,166,0.8134,592237.469879518,5167910.240963856,591365.0,593115.0,5167365.0,5168835.0
midday_afternoon,7,product_disagreement_zone,1,156,0.7644,598334.0384615385,5179788.653846154,597665.0,599065.0,5178985.0,5180385.0
midday_afternoon,7,product_disagreement_zone,301,126,0.6174,582052.2222222222,5163065.0,581425.0,582685.0,5162535.0,5163515.0
midday_afternoon,8,high_variability_zone,10,125,0.6124999999999999,597757.96,5177023.32,597035.0,598155.0,5176395.0,5177795.0
midday_afternoon,8,high_variability_zone,67,107,0.5243,593234.7196261683,5170976.869158879,592695.0,593675.0,5170445.0,5171495.0
midday_afternoon,8,high_variability_zone,153,91,0.44589999999999996,586221.9230769231,5167017.307692308,585695.0,586745.0,5166315.0,5167575.0
midday_afternoon,8,high_variability_zone,159,87,0.4263,592945.2298850574,5166714.08045977,592485.0,593395.0,5166455.0,5167155.0
midday_afternoon,8,high_variability_zone,173,76,0.3724,582883.947368421,5166295.657894737,582405.0,583245.0,5165895.0,5166665.0
midday_afternoon,8,high_variability_zone,62,62,0.3038,592615.9677419355,5171823.548387097,592205.0,592975.0,5171565.0,5172125.0
midday_afternoon,8,high_variability_zone,77,52,0.25479999999999997,597434.8076923077,5170768.076923077,597105.0,597805.0,5170445.0,5171005.0
midday_afternoon,8,high_variability_zone,247,51,0.24989999999999998,589439.3137254902,5163694.803921568,589265.0,589615.0,5163305.0,5164145.0
midday_afternoon,8,high_variability_zone,95,50,0.245,587505.2,5169785.6,587165.0,587795.0,5169465.0,5170025.0
midday_afternoon,8,high_variability_zone,92,46,0.2254,595543.695652174,5169891.0869565215,595145.0,595985.0,5169675.0,5170165.0
daytime_evening,1,stable_core,73,42,0.20579999999999998,588091.6666666666,5169246.666666667,587865.0,588495.0,5168905.0,5169535.0
daytime_evening,1,stable_core,15,13,0.06369999999999999,599248.0769230769,5177983.461538462,599065.0,599415.0,5177865.0,5178075.0
daytime_evening,1,stable_core,61,12,0.0588,589434.1666666666,5169791.666666667,589265.0,589615.0,5169605.0,5169885.0
daytime_evening,1,stable_core,134,10,0.049,588838.0,5166280.0,588775.0,588985.0,5166175.0,5166385.0
daytime_evening,1,stable_core,152,10,0.049,586199.0,5165223.0,586115.0,586255.0,5165055.0,5165335.0
daytime_evening,2,coherent_june_activation,13,39,0.1911,586276.5384615385,5170863.205128205,585835.0,586605.0,5170655.0,5171285.0
daytime_evening,2,coherent_june_activation,24,13,0.06369999999999999,592054.2307692308,5168334.230769231,591925.0,592205.0,5168135.0,5168485.0
daytime_evening,4,esi_watch_zone_exploratory,193,3685,18.0565,584638.9023066486,5163101.439620081,581495.0,588775.0,5158615.0,5167365.0
daytime_evening,4,esi_watch_zone_exploratory,23,2287,11.206299999999999,597842.127240927,5171151.85614342,595425.0,600535.0,5167645.0,5176465.0
daytime_evening,4,esi_watch_zone_exploratory,205,641,3.1409,581120.8658346334,5164245.468018721,579885.0,581915.0,5162325.0,5167085.0
daytime_evening,4,esi_watch_zone_exploratory,27,591,2.8958999999999997,586495.0846023689,5175139.263959391,585205.0,587655.0,5174085.0,5176325.0
daytime_evening,4,esi_watch_zone_exploratory,201,524,2.5676,593438.4160305343,5166265.5725190835,591925.0,595005.0,5165195.0,5167225.0
daytime_evening,4,esi_watch_zone_exploratory,83,510,2.499,594881.3333333334,5170531.607843137,593465.0,597245.0,5169325.0,5171495.0
daytime_evening,4,esi_watch_zone_exploratory,111,407,1.9943,586747.9238329239,5168585.27027027,585485.0,588005.0,5166945.0,5169955.0
daytime_evening,4,esi_watch_zone_exploratory,130,350,1.7149999999999999,583720.0,5168178.8,582825.0,584645.0,5167155.0,5169115.0
daytime_evening,4,esi_watch_zone_exploratory,64,302,1.4798,590370.1655629139,5172122.682119206,588985.0,591715.0,5171495.0,5172685.0
daytime_evening,4,esi_watch_zone_exploratory,97,222,1.0877999999999999,592582.7477477477,5170135.990990991,591715.0,593535.0,5169395.0,5170935.0
daytime_evening,5,demand_efficiency_watch_exploratory,59,5517,27.0333,592012.1669385536,5167569.176182708,587375.0,597035.0,5163725.0,5171985.0
daytime_evening,5,demand_efficiency_watch_exploratory,84,2418,11.8482,584352.0016542597,5167370.789909015,580235.0,586955.0,5163515.0,5171075.0
daytime_evening,5,demand_efficiency_watch_exploratory,305,1183,5.7966999999999995,581402.2781065089,5161971.627218935,579395.0,583595.0,5160295.0,5164005.0
daytime_evening,5,demand_efficiency_watch_exploratory,19,1114,5.4586,598609.4973070018,5174562.307001796,596125.0,600185.0,5172615.0,5176885.0
daytime_evening,5,demand_efficiency_watch_exploratory,247,145,0.7105,582850.5862068966,5165577.827586207,582055.0,583595.0,5164775.0,5166175.0
daytime_evening,5,demand_efficiency_watch_exploratory,275,114,0.5586,580088.8596491228,5164408.421052632,579605.0,580725.0,5163865.0,5165125.0
daytime_evening,5,demand_efficiency_watch_exploratory,87,111,0.5438999999999999,586344.5495495496,5170400.225225225,585765.0,586885.0,5169885.0,5170865.0
daytime_evening,5,demand_efficiency_watch_exploratory,1,88,0.43119999999999997,598519.3181818182,5179860.0,598085.0,598995.0,5179405.0,5180385.0
daytime_evening,5,demand_efficiency_watch_exploratory,205,81,0.3969,586757.9629629629,5166488.703703703,586395.0,587165.0,5165825.0,5167225.0
daytime_evening,5,demand_efficiency_watch_exploratory,65,77,0.37729999999999997,585590.4545454546,5171205.0,585345.0,586115.0,5170655.0,5171705.0
daytime_evening,6,efficient_activation_support,436,102,0.49979999999999997,580784.7058823529,5160943.529411765,580165.0,581355.0,5160295.0,5161555.0
daytime_evening,6,efficient_activation_support,3,88,0.43119999999999997,598379.3181818182,5178883.181818182,597945.0,598785.0,5178145.0,5179475.0
daytime_evening,6,efficient_activation_support,242,88,0.43119999999999997,593049.7727272727,5167369.7727272725,592205.0,593815.0,5166945.0,5167855.0
daytime_evening,6,efficient_activation_support,129,85,0.4165,586344.7647058824,5170030.764705882,585415.0,587235.0,5169745.0,5170445.0
daytime_evening,6,efficient_activation_support,139,85,0.4165,590664.1764705882,5169662.647058823,590245.0,591155.0,5169185.0,5170025.0
daytime_evening,6,efficient_activation_support,342,45,0.2205,583535.8888888889,5165524.777777778,583245.0,583875.0,5165195.0,5165825.0
daytime_evening,6,efficient_activation_support,113,43,0.2107,598715.0,5171175.930232558,598505.0,598925.0,5170865.0,5171425.0
daytime_evening,6,efficient_activation_support,400,38,0.1862,588973.947368421,5163826.315789473,588705.0,589265.0,5163445.0,5164215.0
