class_map,elevation_bin,class_code,class_name,pixel_count,area_km2,percent_of_class,mean_elevation,median_elevation
daytime_evening,highest_elevation_quartile,5,demand_efficiency_watch_exploratory,552,2.7048,4.591582099484278,2731.363037109375,2699.67236328125
daytime_evening,lowest_elevation_quartile,6,efficient_activation_support,492,2.4108,21.428571428571427,1899.308349609375,1922.566162109375
daytime_evening,low_mid_elevation,6,efficient_activation_support,696,3.4104,30.313588850174217,2197.0634765625,2203.837890625
daytime_evening,high_mid_elevation,6,efficient_activation_support,596,2.9204,25.958188153310104,2435.997802734375,2425.854248046875
daytime_evening,highest_elevation_quartile,6,efficient_activation_support,512,2.5088,22.299651567944252,2745.70556640625,2724.65966796875
daytime_evening,lowest_elevation_quartile,7,product_disagreement_zone,2455,12.029499999999999,28.553151895789718,1861.1575927734375,1873.4716796875
daytime_evening,low_mid_elevation,7,product_disagreement_zone,1787,8.7563,20.78390323331007,2198.300048828125,2203.5498046875
daytime_evening,high_mid_elevation,7,product_disagreement_zone,2268,11.113199999999999,26.378227494766225,2443.32666015625,2438.620361328125
daytime_evening,highest_elevation_quartile,7,product_disagreement_zone,2088,10.2312,24.284717376133987,2741.88671875,2730.273681640625
daytime_evening,lowest_elevation_quartile,8,high_variability_zone,6,0.0294,1.054481546572935,1931.38671875,1967.78515625
daytime_evening,low_mid_elevation,8,high_variability_zone,113,0.5537,19.85940246045694,2225.000732421875,2242.536865234375
daytime_evening,high_mid_elevation,8,high_variability_zone,129,0.6321,22.671353251318102,2439.622802734375,2437.397216796875
daytime_evening,highest_elevation_quartile,8,high_variability_zone,321,1.5729,56.41476274165203,2765.017822265625,2740.2861328125
all_available_timebin,lowest_elevation_quartile,0,unclassified_or_no_data,2,0.0098,2.1052631578947367,1909.6837158203125,1909.6837158203125
all_available_timebin,low_mid_elevation,0,unclassified_or_no_data,40,0.196,42.10526315789473,2232.869140625,2252.24609375
all_available_timebin,high_mid_elevation,0,unclassified_or_no_data,40,0.196,42.10526315789473,2405.467529296875,2367.9990234375
all_available_timebin,highest_elevation_quartile,0,unclassified_or_no_data,13,0.06369999999999999,13.684210526315791,2738.51611328125,2755.97705078125
all_available_timebin,lowest_elevation_quartile,1,stable_core,248,1.2152,59.90338164251207,1849.8699951171875,1855.548828125
all_available_timebin,low_mid_elevation,1,stable_core,144,0.7056,34.78260869565217,2184.546630859375,2191.476318359375
all_available_timebin,high_mid_elevation,1,stable_core,22,0.10779999999999999,5.314009661835748,2400.15771484375,2380.77685546875
all_available_timebin,lowest_elevation_quartile,2,coherent_june_activation,77,0.37729999999999997,86.51685393258427,1763.7659912109375,1783.8304443359375
all_available_timebin,low_mid_elevation,2,coherent_june_activation,9,0.0441,10.112359550561797,2180.89404296875,2178.366943359375
all_available_timebin,highest_elevation_quartile,2,coherent_june_activation,3,0.0147,3.3707865168539324,2827.51953125,2828.894287109375
all_available_timebin,lowest_elevation_quartile,4,esi_watch_zone_exploratory,346,1.6954,3.075555555555556,1917.4080810546875,1941.620849609375
all_available_timebin,low_mid_elevation,4,esi_watch_zone_exploratory,1410,6.909,12.533333333333333,2228.41162109375,2246.3544921875
all_available_timebin,high_mid_elevation,4,esi_watch_zone_exploratory,4055,19.8695,36.044444444444444,2459.6982421875,2463.502197265625
all_available_timebin,highest_elevation_quartile,4,esi_watch_zone_exploratory,5439,26.6511,48.346666666666664,2760.455322265625,2745.6591796875
all_available_timebin,lowest_elevation_quartile,5,demand_efficiency_watch_exploratory,4872,23.872799999999998,41.69091220263563,1901.4635009765625,1925.5211181640625
all_available_timebin,low_mid_elevation,5,demand_efficiency_watch_exploratory,4507,22.0843,38.56751668663358,2173.470458984375,2167.23583984375
all_available_timebin,high_mid_elevation,5,demand_efficiency_watch_exploratory,1733,8.4917,14.82971076501797,2437.984130859375,2428.970947265625
all_available_timebin,highest_elevation_quartile,5,demand_efficiency_watch_exploratory,574,2.8125999999999998,4.911860345712818,2733.601806640625,2700.282958984375
all_available_timebin,lowest_elevation_quartile,6,efficient_activation_support,480,2.352,20.71644367716875,1896.1595458984375,1921.48779296875
all_available_timebin,low_mid_elevation,6,efficient_activation_support,682,3.3418,29.43461372464394,2198.7001953125,2207.73681640625
all_available_timebin,high_mid_elevation,6,efficient_activation_support,609,2.9840999999999998,26.283987915407852,2437.0302734375,2428.307373046875
all_available_timebin,highest_elevation_quartile,6,efficient_activation_support,546,2.6754,23.564954682779458,2744.5341796875,2723.576171875
all_available_timebin,lowest_elevation_quartile,7,product_disagreement_zone,2747,13.4603,30.81323611890073,1864.8292236328125,1882.475341796875
all_available_timebin,low_mid_elevation,7,product_disagreement_zone,1899,9.3051,21.301177790241166,2195.091064453125,2198.855712890625
all_available_timebin,high_mid_elevation,7,product_disagreement_zone,2232,10.9368,25.036455412226584,2443.105712890625,2438.7353515625
all_available_timebin,highest_elevation_quartile,7,product_disagreement_zone,2037,9.9813,22.84913067863152,2740.478759765625,2727.64404296875
all_available_timebin,lowest_elevation_quartile,8,high_variability_zone,5,0.0245,1.466275659824047,1932.524658203125,2009.8740234375
all_available_timebin,low_mid_elevation,8,high_variability_zone,86,0.4214,25.219941348973606,2222.951904296875,2241.948486328125
all_available_timebin,high_mid_elevation,8,high_variability_zone,85,0.4165,24.926686217008797,2431.2509765625,2422.5556640625
all_available_timebin,highest_elevation_quartile,8,high_variability_zone,165,0.8085,48.38709677419355,2768.650390625,2742.05859375
phase1_all_scene,lowest_elevation_quartile,0,unclassified_or_no_data,2,0.0098,100.0,1909.6837158203125,1909.6837158203125
phase1_all_scene,lowest_elevation_quartile,1,stable_core,187,0.9163,48.69791666666667,1861.889892578125,1867.6005859375
phase1_all_scene,low_mid_elevation,1,stable_core,167,0.8183,43.48958333333333,2178.7294921875,2181.4658203125
phase1_all_scene,high_mid_elevation,1,stable_core,30,0.147,7.8125,2397.81005859375,2374.29736328125
phase1_all_scene,lowest_elevation_quartile,2,coherent_june_activation,82,0.4018,86.31578947368422,1753.3052978515625,1759.778564453125
phase1_all_scene,low_mid_elevation,2,coherent_june_activation,11,0.053899999999999997,11.578947368421053,2152.140380859375,2128.409912109375
phase1_all_scene,high_mid_elevation,2,coherent_june_activation,1,0.0049,1.0526315789473684,2334.94482421875,2334.94482421875
phase1_all_scene,highest_elevation_quartile,2,coherent_june_activation,1,0.0049,1.0526315789473684,2814.7158203125,2814.7158203125
phase1_all_scene,lowest_elevation_quartile,4,esi_watch_zone_exploratory,608,2.9792,4.6751249519415605,1937.727783203125,1967.93115234375
phase1_all_scene,low_mid_elevation,4,esi_watch_zone_exploratory,2093,10.2557,16.09381007304883,2221.814697265625,2238.142578125
phase1_all_scene,high_mid_elevation,4,esi_watch_zone_exploratory,4926,24.1374,37.877739331026525,2454.495361328125,2455.28466796875
phase1_all_scene,highest_elevation_quartile,4,esi_watch_zone_exploratory,5378,26.3522,41.353325643983084,2754.3681640625,2738.265625
phase1_all_scene,lowest_elevation_quartile,5,demand_efficiency_watch_exploratory,3861,18.9189,38.23529411764706,1896.246337890625,1918.203369140625
phase1_all_scene,low_mid_elevation,5,demand_efficiency_watch_exploratory,3664,17.953599999999998,36.284412755000986,2177.498291015625,2172.659912109375
phase1_all_scene,high_mid_elevation,5,demand_efficiency_watch_exploratory,1652,8.0948,16.359675183204594,2441.225341796875,2435.15283203125
phase1_all_scene,highest_elevation_quartile,5,demand_efficiency_watch_exploratory,921,4.5129,9.120617944147357,2745.239501953125,2723.437255859375
phase1_all_scene,lowest_elevation_quartile,6,efficient_activation_support,1185,5.8065,37.20565149136578,1912.132080078125,1935.49609375
phase1_all_scene,low_mid_elevation,6,efficient_activation_support,1122,5.4978,35.2276295133438,2171.9208984375,2162.2236328125
phase1_all_scene,high_mid_elevation,6,efficient_activation_support,430,2.1069999999999998,13.500784929356357,2440.410400390625,2435.40625
phase1_all_scene,highest_elevation_quartile,6,efficient_activation_support,448,2.1952,14.065934065934066,2754.63671875,2738.12255859375
phase1_all_scene,lowest_elevation_quartile,7,product_disagreement_zone,1324,6.4876,67.3791348600509,1839.27001953125,1837.3260498046875
phase1_all_scene,low_mid_elevation,7,product_disagreement_zone,159,0.7791,8.091603053435115,2116.8974609375,2106.220458984375
phase1_all_scene,high_mid_elevation,7,product_disagreement_zone,78,0.3822,3.969465648854962,2493.002197265625,2494.630126953125
phase1_all_scene,highest_elevation_quartile,7,product_disagreement_zone,404,1.9796,20.559796437659035,2741.19921875,2732.102783203125
phase1_all_scene,highest_elevation_quartile,8,high_variability_zone,38,0.1862,100.0,2733.489013671875,2742.38671875
phase1_all_scene,lowest_elevation_quartile,9,seasonal_activation_zone,1451,7.1099,24.28045515394913,1886.8531494140625,1915.2362060546875
phase1_all_scene,low_mid_elevation,9,seasonal_activation_zone,1496,7.3304,25.0334672021419,2198.44677734375,2202.28564453125
phase1_all_scene,high_mid_elevation,9,seasonal_activation_zone,1617,7.923299999999999,27.058232931726906,2441.235107421875,2436.0908203125
phase1_all_scene,highest_elevation_quartile,9,seasonal_activation_zone,1412,6.9188,23.62784471218206,2742.982177734375,2729.13720703125
