class_map,axis,bin,class_code,class_name,pixel_count,area_km2,percent_of_class
daytime_evening,west_east,middle_east,2,coherent_june_activation,15,0.0735,15.151515151515152
daytime_evening,west_east,middle_west,2,coherent_june_activation,68,0.3332,68.68686868686868
daytime_evening,west_east,west,2,coherent_june_activation,3,0.0147,3.0303030303030303
daytime_evening,west_east,east,4,esi_watch_zone_exploratory,2929,14.3521,26.061037458848652
daytime_evening,west_east,middle_east,4,esi_watch_zone_exploratory,1934,9.4766,17.207936649168076
daytime_evening,west_east,middle_west,4,esi_watch_zone_exploratory,2849,13.960099999999999,25.34923035857283
daytime_evening,west_east,west,4,esi_watch_zone_exploratory,3527,17.2823,31.381795533410443
daytime_evening,west_east,east,5,demand_efficiency_watch_exploratory,2270,11.123,18.643232588699078
daytime_evening,west_east,middle_east,5,demand_efficiency_watch_exploratory,3958,19.394199999999998,32.506570302233904
daytime_evening,west_east,middle_west,5,demand_efficiency_watch_exploratory,3062,15.0038,25.14783180026281
daytime_evening,west_east,west,5,demand_efficiency_watch_exploratory,2886,14.141399999999999,23.702365308804204
daytime_evening,west_east,east,6,efficient_activation_support,591,2.8958999999999997,24.978867286559595
daytime_evening,west_east,middle_east,6,efficient_activation_support,528,2.5871999999999997,22.31614539306847
daytime_evening,west_east,middle_west,6,efficient_activation_support,583,2.8567,24.640743871513102
daytime_evening,west_east,west,6,efficient_activation_support,664,3.2536,28.064243448858832
daytime_evening,west_east,east,7,product_disagreement_zone,2368,11.6032,27.174661464310308
daytime_evening,west_east,middle_east,7,product_disagreement_zone,1622,7.9478,18.613725040165253
daytime_evening,west_east,middle_west,7,product_disagreement_zone,2993,14.6657,34.34702777140234
daytime_evening,west_east,west,7,product_disagreement_zone,1731,8.4819,19.8645857241221
daytime_evening,west_east,east,8,high_variability_zone,132,0.6467999999999999,22.837370242214533
daytime_evening,west_east,middle_east,8,high_variability_zone,126,0.6174,21.79930795847751
daytime_evening,west_east,middle_west,8,high_variability_zone,197,0.9652999999999999,34.083044982698965
daytime_evening,west_east,west,8,high_variability_zone,123,0.6027,21.280276816608996
all_available_timebin,north_south,middle_north,0,unclassified_or_no_data,28,0.1372,28.865979381443296
all_available_timebin,north_south,middle_south,0,unclassified_or_no_data,51,0.24989999999999998,52.57731958762887
all_available_timebin,north_south,north,0,unclassified_or_no_data,7,0.0343,7.216494845360824
all_available_timebin,north_south,south,0,unclassified_or_no_data,11,0.053899999999999997,11.34020618556701
all_available_timebin,north_south,middle_north,1,stable_core,95,0.46549999999999997,22.83653846153846
all_available_timebin,north_south,middle_south,1,stable_core,238,1.1662,57.21153846153846
all_available_timebin,north_south,north,1,stable_core,70,0.34299999999999997,16.826923076923077
all_available_timebin,north_south,south,1,stable_core,13,0.06369999999999999,3.125
all_available_timebin,north_south,middle_north,2,coherent_june_activation,66,0.32339999999999997,70.2127659574468
all_available_timebin,north_south,middle_south,2,coherent_june_activation,20,0.098,21.27659574468085
all_available_timebin,north_south,north,2,coherent_june_activation,4,0.0196,4.25531914893617
