product,source_type,year,month,time_bin,total_records,usable_records,mean_coverage_percent,min_coverage_percent
pet,statistics_csv,2023,6,morning,10,7,72.9965,0.0393
pet,statistics_csv,2024,2,midday_afternoon,2,2,92.30340000000001,84.6068
pet,statistics_csv,2024,6,midday_afternoon,2,1,56.0648,12.881
pet,statistics_csv,2025,1,evening,2,2,100.0,100.0
pet,statistics_csv,2025,2,midday_afternoon,6,6,95.63156666666667,75.5054
pet,statistics_csv,2025,2,morning,5,4,84.43964,30.8902
pet,statistics_csv,2025,3,midday_afternoon,1,1,93.509,93.509
pet,statistics_csv,2025,4,evening,1,1,100.0,100.0
pet,statistics_csv,2025,4,midday_afternoon,2,2,100.0,100.0
pet,statistics_csv,2025,4,morning,6,5,80.81031666666667,0.3337
pet,statistics_csv,2025,5,evening,1,0,0.0112,0.0112
pet,statistics_csv,2025,5,midday_afternoon,2,2,99.75184999999999,99.5037
pet,statistics_csv,2025,6,midday_afternoon,2,1,65.0091,39.2233
pet,statistics_csv,2025,6,morning,4,3,83.233575,48.835
wue,statistics_csv,2019,2,evening,2,0,4.1999,0.0112
wue,statistics_csv,2019,2,midday_afternoon,8,0,5.026175,0.0084
wue,statistics_csv,2019,6,evening,3,0,8.141333333333334,0.0056
wue,statistics_csv,2019,6,midday_afternoon,7,1,41.22292857142857,0.0421
wue,statistics_csv,2019,6,morning,4,3,62.294925000000006,0.17700000000000002
wue,statistics_csv,2020,1,evening,1,0,0.0815,0.0815
wue,statistics_csv,2020,2,midday_afternoon,1,0,8.6414,8.6414
wue,statistics_csv,2020,3,evening,1,0,11.4929,11.4929
wue,statistics_csv,2020,4,evening,2,0,17.16625,13.849900000000002
wue,statistics_csv,2020,4,midday_afternoon,6,0,21.699083333333334,0.2585
wue,statistics_csv,2020,4,morning,5,0,36.4103,22.0924
wue,statistics_csv,2020,5,morning,1,0,13.9679,13.9679
wue,statistics_csv,2020,6,evening,2,0,7.11455,3.6296000000000004
wue,statistics_csv,2020,6,midday_afternoon,8,2,37.432575,1.0844
wue,statistics_csv,2020,6,morning,5,2,58.025040000000004,0.3343
wue,statistics_csv,2021,2,evening,1,0,2.5565,2.5565
wue,statistics_csv,2021,2,midday_afternoon,8,0,5.72535,0.0393
wue,statistics_csv,2021,2,morning,3,0,0.1545,0.0084
wue,statistics_csv,2021,3,evening,3,0,8.283666666666667,0.10389999999999999
wue,statistics_csv,2021,4,evening,1,0,0.0028,0.0028
wue,statistics_csv,2021,4,midday_afternoon,6,0,7.2620499999999995,0.0899
wue,statistics_csv,2021,4,morning,8,0,15.7106875,0.025300000000000003
wue,statistics_csv,2021,5,evening,4,1,49.074999999999996,28.719499999999996
wue,statistics_csv,2021,5,morning,4,0,4.7337,0.5309999999999999
wue,statistics_csv,2021,6,evening,4,0,37.747925,0.5422
wue,statistics_csv,2021,6,midday_afternoon,3,2,59.252900000000004,0.0674
wue,statistics_csv,2021,6,morning,7,4,67.21824285714285,18.895400000000002
wue,statistics_csv,2022,1,evening,1,0,0.0815,0.0815
wue,statistics_csv,2022,2,evening,2,0,1.88085,0.053399999999999996
wue,statistics_csv,2022,2,midday_afternoon,5,0,9.44152,0.10679999999999999
wue,statistics_csv,2022,2,morning,2,0,0.01265,0.0056
wue,statistics_csv,2022,3,evening,2,0,14.44685,7.599200000000001
wue,statistics_csv,2022,4,evening,3,0,15.0129,0.1292
wue,statistics_csv,2022,4,midday_afternoon,12,0,25.630225,0.37929999999999997
wue,statistics_csv,2022,4,morning,6,0,31.20481666666667,0.6096
wue,statistics_csv,2022,5,evening,4,0,27.7756,11.0546
wue,statistics_csv,2022,5,morning,1,0,35.4506,35.4506
wue,statistics_csv,2022,6,evening,6,2,36.0518,0.2163
wue,statistics_csv,2022,6,midday_afternoon,9,3,62.33658888888889,0.0562
