variable,year,season,season_label,metric,raster_path,observation_count,confidence_level,mean_valid_observations_per_aoi_pixel,mean_pixel_observation_coverage_percent,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
et,2021,june,Early Growing Season,std,data/processed/composites/et_2021_june_std.tif,14,medium,10.094932556152344,72.10665893554688,1.1401759386062622,1.1235936880111694,0.4809262752532959,1.970506191253662,0.19078123569488525,0.860801100730896,1.006676197052002,1.2668704986572266,1.471980094909668,34751,34751,34751,94839,100.0,100.0
et,2021,june,Early Growing Season,valid_count,data/processed/composites/et_2021_june_valid_count.tif,14,medium,10.094932556152344,72.10665893554688,10.094932556152344,10.0,6.0,12.0,0.9702462553977966,8.0,9.0,11.0,11.0,34751,34751,34751,94839,100.0,100.0
et,2021,june,Early Growing Season,observation_coverage,data/processed/composites/et_2021_june_observation_coverage.tif,14,medium,10.094932556152344,72.10665893554688,72.10665893554688,71.42857360839844,42.85714340209961,85.71428680419922,6.930328845977783,57.142860412597656,64.28571319580078,78.57142639160156,78.57142639160156,34751,34751,34751,94839,100.0,100.0
et,2022,june,Early Growing Season,mean,data/processed/composites/et_2022_june_mean.tif,22,higher,13.191678047180176,59.9621696472168,2.6176273822784424,2.5103366374969482,1.1782915592193604,4.285279273986816,0.5409924387931824,1.8575053215026855,2.1916563510894775,3.056110382080078,3.559096097946167,34751,34751,34751,94839,100.0,100.0
et,2022,june,Early Growing Season,median,data/processed/composites/et_2022_june_median.tif,22,higher,13.191678047180176,59.9621696472168,2.6919705867767334,2.563718795776367,1.005047082901001,4.472234725952148,0.6228914260864258,1.8310561180114746,2.2088229656219482,3.16090989112854,3.7939133644104004,34751,34751,34751,94839,100.0,100.0
et,2022,june,Early Growing Season,min,data/processed/composites/et_2022_june_min.tif,22,higher,13.191678047180176,59.9621696472168,1.0263384580612183,1.0053400993347168,0.0,2.8048360347747803,0.5013179779052734,0.2754625976085663,0.6438557505607605,1.337183952331543,1.9351813793182373,34751,34751,34751,94839,100.0,100.0
et,2022,june,Early Growing Season,max,data/processed/composites/et_2022_june_max.tif,22,higher,13.191678047180176,59.9621696472168,3.9890542030334473,3.9061472415924072,2.183241844177246,7.110137939453125,0.7256090044975281,2.9081764221191406,3.4577372074127197,4.492822647094727,5.170965671539307,34751,34751,34751,94839,100.0,100.0
et,2022,june,Early Growing Season,std,data/processed/composites/et_2022_june_std.tif,22,higher,13.191678047180176,59.9621696472168,0.8550772666931152,0.8366410732269287,0.3507536053657532,1.7265654802322388,0.16250695288181305,0.6227630376815796,0.7407344579696655,0.9506948590278625,1.1434142589569092,34751,34751,34751,94839,100.0,100.0
et,2022,june,Early Growing Season,valid_count,data/processed/composites/et_2022_june_valid_count.tif,22,higher,13.191678047180176,59.9621696472168,13.191678047180176,13.0,7.0,16.0,1.517020344734192,10.0,12.0,14.0,15.0,34751,34751,34751,94839,100.0,100.0
et,2022,june,Early Growing Season,observation_coverage,data/processed/composites/et_2022_june_observation_coverage.tif,22,higher,13.191678047180176,59.9621696472168,59.9621696472168,59.09090805053711,31.81818199157715,72.7272720336914,6.895545959472656,45.45454788208008,54.54545593261719,63.6363639831543,68.18181610107422,34751,34751,34751,94839,100.0,100.0
et,2023,june,Early Growing Season,mean,data/processed/composites/et_2023_june_mean.tif,22,higher,12.181807518005371,55.37185287475586,2.269378185272217,2.197887659072876,0.7655805349349976,4.829877853393555,0.45327994227409363,1.6167278289794922,1.9518096446990967,2.550158977508545,3.1137003898620605,34751,34751,34751,94839,100.0,100.0
et,2023,june,Early Growing Season,median,data/processed/composites/et_2023_june_median.tif,22,higher,12.181807518005371,55.37185287475586,2.293717861175537,2.24122953414917,0.5833081007003784,4.447580337524414,0.4986998736858368,1.5582849979400635,1.9313974380493164,2.6279215812683105,3.2023234367370605,34751,34751,34751,94839,100.0,100.0
et,2023,june,Early Growing Season,min,data/processed/composites/et_2023_june_min.tif,22,higher,12.181807518005371,55.37185287475586,0.7984212040901184,0.6866501569747925,0.0,3.4012341499328613,0.5417512655258179,0.1415647268295288,0.4365912079811096,0.9876896142959595,2.033921003341675,34751,34751,34751,94839,100.0,100.0
et,2023,june,Early Growing Season,max,data/processed/composites/et_2023_june_max.tif,22,higher,12.181807518005371,55.37185287475586,3.7791249752044678,3.6071693897247314,1.3027557134628296,18.061878204345703,0.7310039401054382,2.924420118331909,3.300351142883301,4.103409290313721,5.185977935791016,34751,34751,34751,94839,100.0,100.0
et,2023,june,Early Growing Season,std,data/processed/composites/et_2023_june_std.tif,22,higher,12.181807518005371,55.37185287475586,0.856920599937439,0.860397458076477,0.06284701079130173,5.131832122802734,0.1981872171163559,0.503736674785614,0.759800910949707,0.9631189107894897,1.16267991065979,34751,34751,34751,94839,100.0,100.0
et,2023,june,Early Growing Season,valid_count,data/processed/composites/et_2023_june_valid_count.tif,22,higher,12.181807518005371,55.37185287475586,12.181807518005371,13.0,4.0,18.0,2.7377450466156006,6.0,11.0,14.0,16.0,34751,34751,34751,94839,100.0,100.0
et,2023,june,Early Growing Season,observation_coverage,data/processed/composites/et_2023_june_observation_coverage.tif,22,higher,12.181807518005371,55.37185287475586,55.37185287475586,59.09090805053711,18.18181800842285,81.81818389892578,12.444293975830078,27.272727966308594,50.0,63.6363639831543,72.7272720336914,34751,34751,34751,94839,100.0,100.0
