variable,year,season,season_label,metric,label,raster_path,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
et,2022,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2022_june_raw_anomaly.tif,0.35091152787208557,0.3499307632446289,-0.9862641096115112,2.022031545639038,0.2726328372955322,-0.09593868255615234,0.16637980937957764,0.5375987887382507,0.7948850393295288,34751,34751,34751,94839,100.0,100.0
et,2022,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2022_june_standardized_anomaly.tif,0.7424548864364624,0.7571382522583008,-2.294395923614502,2.4072585105895996,0.5618075728416443,-0.20811857283115387,0.37773627042770386,1.111637830734253,1.6654126644134521,34751,34751,34751,94839,100.0,100.0
et,2023,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2023_june_raw_anomaly.tif,0.002662212820723653,0.02866184711456299,-1.4880504608154297,1.3722138404846191,0.3004721999168396,-0.5341271758079529,-0.17359834909439087,0.2111961841583252,0.43880099058151245,34751,34751,34751,94839,100.0,100.0
et,2023,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2023_june_standardized_anomaly.tif,0.07781945168972015,0.0596916638314724,-2.3965225219726562,2.3825957775115967,0.6450196504592896,-0.9802588224411011,-0.3468548357486725,0.49240386486053467,1.1839380264282227,34751,34751,34751,94839,100.0,100.0
et,2024,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2024_june_raw_anomaly.tif,-0.009813990443944931,0.07165932655334473,-2.1149771213531494,2.7449445724487305,0.6883822679519653,-1.2105504274368286,-0.5334187746047974,0.5195586681365967,0.9778416752815247,34510,34510,34751,94839,99.30649477712872,99.30649477712872
et,2024,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2024_june_standardized_anomaly.tif,-0.02396836131811142,0.18446636199951172,-2.4323902130126953,2.4412906169891357,1.2759734392166138,-1.9865918159484863,-1.2694288492202759,1.0815579891204834,1.825541615486145,34510,34510,34751,94839,99.30649477712872,99.30649477712872
et,2025,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2025_june_raw_anomaly.tif,0.5007025003433228,0.5338597297668457,-1.2571014165878296,2.1686627864837646,0.4674956500530243,-0.3154147267341614,0.18300241231918335,0.8491479158401489,1.1942189931869507,34751,34751,34751,94839,100.0,100.0
et,2025,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2025_june_standardized_anomaly.tif,0.8780410885810852,1.0938032865524292,-2.3694257736206055,2.4149179458618164,0.8588405251502991,-0.9833694696426392,0.4964491128921509,1.4735939502716064,1.9052927494049072,34751,34751,34751,94839,100.0,100.0
ndvi,2019,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2019_june_raw_anomaly.tif,-0.04445042833685875,-0.06747220456600189,-0.27412649989128113,0.2233286201953888,0.06555262207984924,-0.12548282742500305,-0.0945286899805069,0.012092195451259613,0.06955724954605103,34751,34751,34751,94839,100.0,100.0
ndvi,2019,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2019_june_standardized_anomaly.tif,-0.9016240239143372,-1.5962127447128296,-2.4438605308532715,2.4362010955810547,1.3284318447113037,-2.215806722640991,-1.9328391551971436,0.3658517003059387,1.5815004110336304,34751,34751,34751,94839,100.0,100.0
ndvi,2020,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2020_june_raw_anomaly.tif,-0.0003232031886000186,0.011477947235107422,-0.19395087659358978,0.19224463403224945,0.04669228196144104,-0.08508718013763428,-0.03505658358335495,0.037648677825927734,0.05787300691008568,34751,34751,34751,94839,100.0,100.0
ndvi,2020,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2020_june_standardized_anomaly.tif,-0.054819051176309586,0.2691381275653839,-2.437501907348633,2.381934642791748,1.0412167310714722,-1.9334317445755005,-0.9552280902862549,0.8083722591400146,1.1984670162200928,34751,34751,34751,94839,100.0,100.0
ndvi,2021,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2021_june_raw_anomaly.tif,-0.014424152672290802,-0.014176666736602783,-0.1314619481563568,0.1118604838848114,0.02862507291138172,-0.06401196122169495,-0.02985726296901703,0.0016451552510261536,0.03394073247909546,34751,34751,34751,94839,100.0,100.0
ndvi,2021,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2021_june_standardized_anomaly.tif,-0.29883667826652527,-0.3310149610042572,-2.2463948726654053,2.072502851486206,0.6076188087463379,-1.2743439674377441,-0.6752896308898926,0.04396501183509827,0.7928057909011841,34751,34751,34751,94839,100.0,100.0
ndvi,2022,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2022_june_raw_anomaly.tif,0.027802078053355217,0.02871587872505188,-0.13719049096107483,0.3362186551094055,0.03759566694498062,-0.035238608717918396,0.002764567732810974,0.05360221117734909,0.08793200552463531,34751,34751,34751,94839,100.0,100.0
ndvi,2022,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2022_june_standardized_anomaly.tif,0.5619990229606628,0.7108286023139954,-2.1802423000335693,2.4385969638824463,0.7670495510101318,-0.9052137136459351,0.0714762806892395,1.1277401447296143,1.5857646465301514,34751,34751,34751,94839,100.0,100.0
ndvi,2023,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2023_june_raw_anomaly.tif,0.021299494430422783,0.0249224454164505,-0.13323073089122772,0.15064674615859985,0.031535692512989044,-0.03695319592952728,0.003912732005119324,0.04285169765353203,0.06509910523891449,34751,34751,34751,94839,100.0,100.0
ndvi,2023,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2023_june_standardized_anomaly.tif,0.4514298141002655,0.567652702331543,-2.2943413257598877,2.3573293685913086,0.6873842477798462,-0.9226390719413757,0.1041102409362793,0.9367848634719849,1.3465161323547363,34751,34751,34751,94839,100.0,100.0
ndvi,2024,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2024_june_raw_anomaly.tif,-0.014025304466485977,-0.014456778764724731,-0.15660937130451202,0.13321055471897125,0.028121033683419228,-0.06109527498483658,-0.030782505869865417,0.003563322126865387,0.03300429508090019,34751,34751,34751,94839,100.0,100.0
